開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),投標最後一天平均成交價,撥券日開盤價,可轉債個股投標最後一天均價
2019/5/23,泰金-KY,6629,櫃檯買賣,第一上櫃初上櫃,美國標,"2,682",28.03,1,345,50,400,2019/6/6,中國信託,"106,228,660",5,600,"12,945",37.8,50.22,39.61,35.6,135.26935,41.9,
2019/5/22,台生材,6649,櫃檯買賣,初上櫃,美國標,"2,040",33.6,2,280,50,400,2019/6/5,元大,"92,821,540",5,471,"6,526",44.2,51.51,45.5,42,52.1,49,
2019/5/14,萬年清,6624,櫃檯買賣,初上櫃,美國標,"1,360",38.76,1,175,50,400,2019/5/28,國泰,"82,582,870",4.5,877,"8,151",59.52,67.2,60.72,50,69.36,63,
2019/5/10,禾聯碩,5283,集中交易市場,初上市,美國標,"6,257",82.73,1,832,50,400,2019/5/24,元富,"643,356,440",4.5,"1,504","15,165",99,123,102.82,91,115.43,100,
2019/4/24,鈺太科技,6679,櫃檯買賣,初上櫃,美國標,"2,541",58.33,1,322,50,400,2019/5/9,凱基,"220,315,770",5,"2,346","26,007",85.66,90,86.7,70,93.26,90.9,
2019/4/19,勤崴,6516,櫃檯買賣,初上櫃,美國標,"2,404",106.15,2,345,50,400,2019/5/6,元大,"466,006,950",5,"1,367","8,553",188.38,212,193.85,138,215.71,180,
2019/4/9,雍智科技,6683,櫃檯買賣,初上櫃,美國標,"1,668",65.22,1,213,50,400,2019/4/23,凱基,"201,039,060",5,"2,967","25,448",118.9,128.99,120.53,75,130.35,128.5,
2019/4/1,騰輝電子-KY,6672,集中交易市場,第一上市初上市,美國標,"4,349",52.68,2,570,40,400,2019/4/17,元大,"351,701,870",5,"3,212","45,682",79.66,95,80.87,60.06,87.18,93.7,
2019/3/22,康控一KY,49431,櫃檯買賣,無擔保轉換公司債,美國標,"13,500",100,1,"1,350",50,400,2019/4/2,中國信託,"1,377,907,550",1,829,"19,751",100.5,159,102.07,102.07,,,125.48
2019/3/13,緯穎,6669,集中交易市場,初上市,美國標,"12,792",215.65,1,"1,678",50,400,2019/3/27,元大,"4,468,523,500",5,"4,665","31,587",335.3,450,349.32,248,388.41,370,
2019/3/12,樂斯科,6662,櫃檯買賣,初上櫃,美國標,"1,577",31.45,1,207,50,400,2019/3/26,日盛,"82,339,580",4.5,927,"8,721",51.05,56.3,52.21,36.8,58.06,54,
2019/3/7,勤凱,4760,櫃檯買賣,初上櫃,美國標,"2,415",18.68,1,311,50,400,2019/3/21,富邦,"82,108,250",4.5,"1,441","25,778",33.16,37,34,22.6,38.1,34.65,
2019/2/19,元翎,4564,集中交易市場,初上市,美國標,"13,600",22.12,1,"1,700",50,400,2019/3/7,福邦,"484,387,780",4.5,"3,456","127,769",35.03,42,35.62,25,38.31,53,
2019/1/24,詠昇,6418,櫃檯買賣,初上櫃,美國標,"2,763",19,2,397,50,400,2019/2/18,台新,"80,746,850",4.5,"1,202","24,469",28.45,43,29.22,22.04,32.59,27.8,
2019/1/9,M31,6643,櫃檯買賣,初上櫃,美國標,"1,928",157.14,1,251,50,400,2019/1/23,永豐金,"459,972,410",4.5,"2,464","16,118",235.22,269,238.57,198,258,290,
